file_index,Explicit Mentions,Implicit Mentions,BPD Names,Role Summary,Examples,Importance Score,cles,Entity,Groupe
0,4,3,World Bank,"Les BPD, notamment la Banque mondiale, jouent un r\u00f4le crucial dans le financement du d\u00e9veloppement pour lutter contre la malnutrition et la faim \u00e0 l'\u00e9chelle mondiale. Elles fournissent des estimations financi\u00e8res critiques et participent \u00e0 l'\u00e9laboration de cadres d'investissement pour la nutrition, soulignant la n\u00e9cessit\u00e9 d'une augmentation des contributions de l'aide publique au d\u00e9veloppement pour atteindre les objectifs de d\u00e9veloppement durable tels que Z\u00e9ro Faim.","United Nations Children's Fund (UNICEF), World Health Organization (WHO), International Bank for Reconstruction and Development/The World Bank. Levels and trends in child malnutrition: UNICEF / WHO / World Bank Group Joint Child Malnutrition Estimates.; The World Bank estimates that, for the next decade, an additional $12.8 billion per year will be needed for nutrition.",4,Action Against Hunger,Action Against Hunger,CSOs and Other Organizations
0,4,3,World Bank,"Les BPD, notamment la Banque mondiale, jouent un r\u00f4le crucial dans le financement du d\u00e9veloppement pour lutter contre la malnutrition et la faim \u00e0 l'\u00e9chelle mondiale. Elles fournissent des estimations financi\u00e8res critiques et participent \u00e0 l'\u00e9laboration de cadres d'investissement pour la nutrition, soulignant la n\u00e9cessit\u00e9 d'une augmentation des contributions de l'aide publique au d\u00e9veloppement pour atteindre les objectifs de d\u00e9veloppement durable tels que Z\u00e9ro Faim.","United Nations Children's Fund (UNICEF), World Health Organization (WHO), International Bank for Reconstruction and Development/The World Bank. Levels and trends in child malnutrition: UNICEF / WHO / World Bank Group Joint Child Malnutrition Estimates.; The World Bank estimates that, for the next decade, an additional $12.8 billion per year will be needed for nutrition.",4,Action Against Hunger,Action Against Hunger,CSOs and Other Organizations
1,2,3,European Investment Bank,"Le texte décrit les Banques Publiques de Développement (BPD) comme cruciales pour le financement et le support du développement en Afrique, particulièrement à travers des initiatives d'investissement et des stratégies financières innovantes. Le European Investment Bank (EIB) est explicitement mentionné pour son investissement de 4 milliards d'euros en Afrique. Le texte souligne l'importance de la Banque Africaine de Développement (AfDB) dans le cadre des allocations de Droits de Tirage Spéciaux (SDRs) et les initiatives européennes pour débloquer des financements de développement. L'importance de réformer les Banques Multilatérales de Développement est également traitée pour améliorer l'accès au financement concessional et le développement durable, en indiquant des propositions pour tripler certains fonds importants d'ici 2030.","The European Investment Bank (EIB) has reaffirmed its commitment to Africa, investing €4 billion in 2023.; It will be important to strengthen advocacy and support for Europe-Africa cooperation to ensure that the additional resources are effectively released to AfDB.",3,AEF,AEF,CSOs and Other Organizations
1,2,3,International Monetary Fund,"Le texte décrit les Banques Publiques de Développement (BPD) comme cruciales pour le financement et le support du développement en Afrique, particulièrement à travers des initiatives d'investissement et des stratégies financières innovantes. Le European Investment Bank (EIB) est explicitement mentionné pour son investissement de 4 milliards d'euros en Afrique. Le texte souligne l'importance de la Banque Africaine de Développement (AfDB) dans le cadre des allocations de Droits de Tirage Spéciaux (SDRs) et les initiatives européennes pour débloquer des financements de développement. L'importance de réformer les Banques Multilatérales de Développement est également traitée pour améliorer l'accès au financement concessional et le développement durable, en indiquant des propositions pour tripler certains fonds importants d'ici 2030.","The European Investment Bank (EIB) has reaffirmed its commitment to Africa, investing €4 billion in 2023.; It will be important to strengthen advocacy and support for Europe-Africa cooperation to ensure that the additional resources are effectively released to AfDB.",3,AEF,AEF,CSOs and Other Organizations
1,2,3,African Development Bank,"Le texte décrit les Banques Publiques de Développement (BPD) comme cruciales pour le financement et le support du développement en Afrique, particulièrement à travers des initiatives d'investissement et des stratégies financières innovantes. Le European Investment Bank (EIB) est explicitement mentionné pour son investissement de 4 milliards d'euros en Afrique. Le texte souligne l'importance de la Banque Africaine de Développement (AfDB) dans le cadre des allocations de Droits de Tirage Spéciaux (SDRs) et les initiatives européennes pour débloquer des financements de développement. L'importance de réformer les Banques Multilatérales de Développement est également traitée pour améliorer l'accès au financement concessional et le développement durable, en indiquant des propositions pour tripler certains fonds importants d'ici 2030.","The European Investment Bank (EIB) has reaffirmed its commitment to Africa, investing €4 billion in 2023.; It will be important to strengthen advocacy and support for Europe-Africa cooperation to ensure that the additional resources are effectively released to AfDB.",3,AEF,AEF,CSOs and Other Organizations
3,2,5,World Bank,"Les banques publiques de développement (BPD), notamment les banques de développement multilatérales et les institutions financières internationales, sont décrites comme cruciales pour surmonter les défis financiers en Afrique, en fournissant des financements publics pour des projets qui ne peuvent attirer des capitaux privés en raison de divers risques. Elles sont également mentionnées dans le cadre de la coordination des prêts et du besoin de réformes pour réduire les coûts d'emprunt et augmenter l'accès aux ressources financières concessionnelles. Le texte met en lumière l'importance de réformer les politiques et pratiques des BPD pour débloquer plus de ressources et mieux répondre aux priorités spécifiques des pays africains.","African countries have had to go to the World Bank over 200 times to access IDA over its lifetime, while another 27 have done so 100 times.; Reforming the policies and practices of multilateral development banks (MDBs) and international financial institutions (IFIs) should unlock more resources...",4,AFPH_ APRI _ Development Reimagined,AFPH_ APRI _ Development Reimagined,CSOs and Other Organizations
3,2,5,Multilateral Development Banks,"Les banques publiques de développement (BPD), notamment les banques de développement multilatérales et les institutions financières internationales, sont décrites comme cruciales pour surmonter les défis financiers en Afrique, en fournissant des financements publics pour des projets qui ne peuvent attirer des capitaux privés en raison de divers risques. Elles sont également mentionnées dans le cadre de la coordination des prêts et du besoin de réformes pour réduire les coûts d'emprunt et augmenter l'accès aux ressources financières concessionnelles. Le texte met en lumière l'importance de réformer les politiques et pratiques des BPD pour débloquer plus de ressources et mieux répondre aux priorités spécifiques des pays africains.","African countries have had to go to the World Bank over 200 times to access IDA over its lifetime, while another 27 have done so 100 times.; Reforming the policies and practices of multilateral development banks (MDBs) and international financial institutions (IFIs) should unlock more resources...",4,AFPH_ APRI _ Development Reimagined,AFPH_ APRI _ Development Reimagined,CSOs and Other Organizations
3,2,5,International Financial Institutions,"Les banques publiques de développement (BPD), notamment les banques de développement multilatérales et les institutions financières internationales, sont décrites comme cruciales pour surmonter les défis financiers en Afrique, en fournissant des financements publics pour des projets qui ne peuvent attirer des capitaux privés en raison de divers risques. Elles sont également mentionnées dans le cadre de la coordination des prêts et du besoin de réformes pour réduire les coûts d'emprunt et augmenter l'accès aux ressources financières concessionnelles. Le texte met en lumière l'importance de réformer les politiques et pratiques des BPD pour débloquer plus de ressources et mieux répondre aux priorités spécifiques des pays africains.","African countries have had to go to the World Bank over 200 times to access IDA over its lifetime, while another 27 have done so 100 times.; Reforming the policies and practices of multilateral development banks (MDBs) and international financial institutions (IFIs) should unlock more resources...",4,AFPH_ APRI _ Development Reimagined,AFPH_ APRI _ Development Reimagined,CSOs and Other Organizations
3,2,5,International Monetary Fund,"Les banques publiques de développement (BPD), notamment les banques de développement multilatérales et les institutions financières internationales, sont décrites comme cruciales pour surmonter les défis financiers en Afrique, en fournissant des financements publics pour des projets qui ne peuvent attirer des capitaux privés en raison de divers risques. Elles sont également mentionnées dans le cadre de la coordination des prêts et du besoin de réformes pour réduire les coûts d'emprunt et augmenter l'accès aux ressources financières concessionnelles. Le texte met en lumière l'importance de réformer les politiques et pratiques des BPD pour débloquer plus de ressources et mieux répondre aux priorités spécifiques des pays africains.","African countries have had to go to the World Bank over 200 times to access IDA over its lifetime, while another 27 have done so 100 times.; Reforming the policies and practices of multilateral development banks (MDBs) and international financial institutions (IFIs) should unlock more resources...",4,AFPH_ APRI _ Development Reimagined,AFPH_ APRI _ Development Reimagined,CSOs and Other Organizations
5,0,1,uno system,"The text implicitly mentions the role of a public development bank in the form of an overarching global financial system, suggesting this role could be played by an agency originating from the UNO System to run the global supplementary economy described in the SIFA Plan. This agency would provide a stable currency, finance development, focus on sustainability, and act as a central coordinator for a global socio-economic system focused on sustainable development. The creation and administration of a new digital currency as part of the SIFA Plan would enable economic activities that would support paying developing countries' debts and providing supplementary income globally. This implies a role similar to a public development bank aimed at promoting global financial stability and development.","The advantage of a global system, run by one overarching agency (e.g. an agency created from parts of the UNO System) is that currency can be saved in various ways.",2,All Win Network,All Win Network,CSOs and Other Organizations
7,2,0,World Bank,"Les banques publiques de développement, notamment le Groupe de la Banque mondiale et le Programme des Nations Unies pour l'environnement, jouent un rôle crucial dans le financement vert pour stimuler les projets de construction écologique au Nigeria. Elles sont appelées à fournir un financement multilatéral qui pourrait renforcer les projets de construction durable, en promouvant le développement durable et en aidant à la résilience climatique dans le secteur de la construction au Nigeria.",This study recommends international development cooperation and green financing from multilateral organizations such as the World Bank Group(WBG) and the United Nations Environment Programme(UNEP) towards enhancing green building projects in Nigeria.; Multilateral organizations such as the World Bank Group and the United Nations Environment Programme(UNEP) can play a great role through green financing in enhancing green building projects in Nigeria.,3,Anabaraonye et al,Anabaraonye et al,CSOs and Other Organizations
7,2,0,united nations environment programme,"Les banques publiques de développement, notamment le Groupe de la Banque mondiale et le Programme des Nations Unies pour l'environnement, jouent un rôle crucial dans le financement vert pour stimuler les projets de construction écologique au Nigeria. Elles sont appelées à fournir un financement multilatéral qui pourrait renforcer les projets de construction durable, en promouvant le développement durable et en aidant à la résilience climatique dans le secteur de la construction au Nigeria.",This study recommends international development cooperation and green financing from multilateral organizations such as the World Bank Group(WBG) and the United Nations Environment Programme(UNEP) towards enhancing green building projects in Nigeria.; Multilateral organizations such as the World Bank Group and the United Nations Environment Programme(UNEP) can play a great role through green financing in enhancing green building projects in Nigeria.,3,Anabaraonye et al,Anabaraonye et al,CSOs and Other Organizations
9,2,3,Multilateral Development Banks,"Les banques publiques de développement (BPD), principalement les banques multilatérales de développement (MDBs), sont présentées comme nécessitant une réforme complète pour mieux répondre aux besoins des communautés africaines. Les recommandations indiquent que ces institutions doivent adopter des modèles de gouvernance qui vont au-delà de l'augmentation de leur capacité financière, ce qui inclut des réformes pour l'équité, le genre et la justice sociale. Les BPD sont impliquées dans le financement du développement, particulièrement dans le contexte de la restructuration de l'architecture financière internationale pour inclure des pays du Sud global dans la prise de décision.","a comprehensive overhaul of existing MDBs, as advocated by countries from the Global South; governance reforms that go beyond merely increasing the financial capacity of MDBs",3,ANEEJ,ANEEJ,CSOs and Other Organizations
14,2,3,World Bank,"Les banques publiques de développement (BPD) comme la Banque Mondiale sont mentionnées dans le contexte de partenariats public-privé (PPP) et de financements mixtes, jouant un rôle crucial dans le soutien des investissements privés dans les infrastructures sociales et physiques. Le texte souligne que les BPD permettent de diminuer les risques d'investissement privé mais mettent aussi en lumière les risques fiscaux et les obligations financières à long terme que ces partenariats induisent pour les gouvernements.","In Lesotho, the private sector partner in a hospital PPP project – supported by the World Bank Group – provided less than 1 percent of the total up-front capital cost for the project.; The World Bank Group’s (WBG) Public – Private Infrastructure Advisory Facility (PPIAF) so far has funded more than 1,700 development projects in more than 130 countries worldwide.",3,Bayliss Chukwuma_ Gideo Romero,Bayliss Chukwuma_ Gideo Romero,CSOs and Other Organizations
14,2,3,World Bank,"Les banques publiques de développement (BPD) comme la Banque Mondiale sont mentionnées dans le contexte de partenariats public-privé (PPP) et de financements mixtes, jouant un rôle crucial dans le soutien des investissements privés dans les infrastructures sociales et physiques. Le texte souligne que les BPD permettent de diminuer les risques d'investissement privé mais mettent aussi en lumière les risques fiscaux et les obligations financières à long terme que ces partenariats induisent pour les gouvernements.","In Lesotho, the private sector partner in a hospital PPP project – supported by the World Bank Group – provided less than 1 percent of the total up-front capital cost for the project.; The World Bank Group’s (WBG) Public – Private Infrastructure Advisory Facility (PPIAF) so far has funded more than 1,700 development projects in more than 130 countries worldwide.",3,Bayliss Chukwuma_ Gideo Romero,Bayliss Chukwuma_ Gideo Romero,CSOs and Other Organizations
15,1,3,bilbao bizkaia kutxa foundation,"The text discusses the role of development financial foundations like the Bilbao Bizkaia Kutxa Foundation in supporting sustainable development at the local level. It highlights how these institutions can provide critical resources, including soft financing, to support transformative impacts on sustainable development within territories. The foundations play a crucial role in integrating social and environmental impacts into financial projects, reducing investment risks, and fostering collaboration among local actors to enhance community resilience and competitiveness.","Bilbao Bizkaia Kutxa Foundation is a Financial Foundation, owner of a financial banking business, whose main mandate is to guarantee social cohesion, competitiveness and prosperity in the territory of Bilbao and Bizkaia.",3,ENG,BBK Fundazioa_ENG,CSOs and Other Organizations
